model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
SVM,FS3_corr,SVM_FS3_corr,-20,rayleigh,0.23333333333333334,0.1,0.35280495562083497
SVM,FS3_corr,SVM_FS3_corr,-20,rician,0.13333333333333333,0.1,0.41631205690099793
SVM,FS3_corr,SVM_FS3_corr,-15,awgn,0.43333333333333335,0.1,0.42163533479626303
SVM,FS3_corr,SVM_FS3_corr,-15,rayleigh,0.5,0.1,0.3921129656667659
SVM,FS3_corr,SVM_FS3_corr,-15,rician,0.3333333333333333,0.1,0.46187858003519333
SVM,FS3_corr,SVM_FS3_corr,-10,awgn,1.0,0.1,0.38833575503511153
SVM,FS3_corr,SVM_FS3_corr,-10,rayleigh,0.8333333333333334,0.1,0.393788621218944
SVM,FS3_corr,SVM_FS3_corr,-10,rician,0.7333333333333333,0.1,0.4636804360705711
SVM,FS3_corr,SVM_FS3_corr,-5,awgn,1.0,0.1,0.4907277385242566
SVM,FS3_corr,SVM_FS3_corr,-5,rayleigh,0.9333333333333333,0.1,0.42749710223768916
SVM,FS3_corr,SVM_FS3_corr,-5,rician,1.0,0.1,0.42430301104400653
SVM,FS3_corr,SVM_FS3_corr,0,awgn,1.0,0.1,0.47380156535089746
SVM,FS3_corr,SVM_FS3_corr,0,rayleigh,1.0,0.1,0.36867224647128916
SVM,FS3_corr,SVM_FS3_corr,0,rician,1.0,0.1,0.41755968319259756
SVM,FS3_corr,SVM_FS3_corr,5,awgn,1.0,0.1,0.3725896297352777
SVM,FS3_corr,SVM_FS3_corr,5,rayleigh,1.0,0.1,0.44128107583392007
SVM,FS3_corr,SVM_FS3_corr,5,rician,1.0,0.1,0.3649628239775311
SVM,FS3_corr,SVM_FS3_corr,10,awgn,1.0,0.1,0.34932697813431685
SVM,FS3_corr,SVM_FS3_corr,10,rayleigh,1.0,0.1,0.3679563648857095
SVM,FS3_corr,SVM_FS3_corr,10,rician,1.0,0.1,0.3896919870079514
RF,FS3_corr,RF_FS3_corr,-20,awgn,0.16666666666666666,0.1,0.33548076984501973
RF,FS3_corr,RF_FS3_corr,-20,rayleigh,0.23333333333333334,0.1,0.3016689159540148
RF,FS3_corr,RF_FS3_corr,-20,rician,0.2,0.1,0.30558060635222756
RF,FS3_corr,RF_FS3_corr,-15,awgn,0.5,0.1,0.3176440425270003
