model,training,snr_db,channel,threshold,n_h0,n_h1_all,n_h1_16qam,n_h1_fsk,Pd_all,Pd_16qam_only,Pd_fsk_only
DTREE,config1_no_16qam,-5,rician,0.2976629766297663,30,30,6,8,0.9666666666666667,1.0,0.875
DTREE,config1_no_16qam,0,awgn,0.2976629766297663,30,30,5,7,1.0,1.0,1.0
DTREE,config1_no_16qam,0,rayleigh,0.23985275299438882,30,30,5,10,0.9666666666666667,1.0,0.9
DTREE,config1_no_16qam,0,rician,0.2976629766297663,30,30,7,6,1.0,1.0,1.0
DTREE,config1_no_16qam,5,awgn,0.2976629766297663,30,30,6,10,1.0,1.0,1.0
DTREE,config1_no_16qam,5,rayleigh,0.23985275299438882,30,30,4,12,1.0,1.0,1.0
DTREE,config1_no_16qam,5,rician,0.2976629766297663,30,30,9,13,1.0,1.0,1.0
DTREE,config1_no_16qam,10,awgn,0.2976629766297663,30,30,12,6,1.0,1.0,1.0
DTREE,config1_no_16qam,10,rayleigh,0.2976629766297663,30,30,13,6,1.0,1.0,1.0
DTREE,config1_no_16qam,10,rician,0.2976629766297663,30,30,7,9,1.0,1.0,1.0
KNN,config1_no_16qam,-20,awgn,0.296191159054089,30,30,6,7,0.26666666666666666,0.3333333333333333,0.2857142857142857
KNN,config1_no_16qam,-20,rayleigh,0.2853674887538574,30,30,9,7,0.26666666666666666,0.4444444444444444,0.2857142857142857
KNN,config1_no_16qam,-20,rician,0.29363736903436344,30,30,13,1,0.23333333333333334,0.3076923076923077,1.0
KNN,config1_no_16qam,-15,awgn,0.35703215832438995,30,30,4,11,0.23333333333333334,0.5,0.09090909090909091
KNN,config1_no_16qam,-15,rayleigh,0.341287133436693,30,30,8,8,0.16666666666666666,0.0,0.125
KNN,config1_no_16qam,-15,rician,0.33367971255682827,30,30,5,11,0.3,0.2,0.36363636363636365
KNN,config1_no_16qam,-10,awgn,0.3249216629240538,30,30,5,7,0.8,0.8,0.7142857142857143
KNN,config1_no_16qam,-10,rayleigh,0.282527292876838,30,30,10,6,0.7,0.7,0.6666666666666666
KNN,config1_no_16qam,-10,rician,0.2943566996979756,30,30,12,9,0.8333333333333334,0.8333333333333334,0.6666666666666666
KNN,config1_no_16qam,-5,awgn,0.2722188148424413,30,30,7,4,1.0,1.0,1.0
KNN,config1_no_16qam,-5,rayleigh,0.35547140525664533,30,30,7,7,0.8333333333333334,0.8571428571428571,0.8571428571428571
KNN,config1_no_16qam,-5,rician,0.27952066479332827,30,30,6,8,1.0,1.0,1.0
KNN,config1_no_16qam,0,awgn,0.2704728182973757,30,30,5,7,1.0,1.0,1.0
KNN,config1_no_16qam,0,rayleigh,0.31022157037495846,30,30,5,10,0.9666666666666667,1.0,0.9
KNN,config1_no_16qam,0,rician,0.3506090063594437,30,30,7,6,1.0,1.0,1.0
KNN,config1_no_16qam,5,awgn,0.30987011597111974,30,30,6,10,1.0,1.0,1.0
KNN,config1_no_16qam,5,rayleigh,0.263736205202994,30,30,4,12,1.0,1.0,1.0
KNN,config1_no_16qam,5,rician,0.27702367271689265,30,30,9,13,1.0,1.0,1.0
KNN,config1_no_16qam,10,awgn,0.32042895790303233,30,30,12,6,1.0,1.0,1.0
KNN,config1_no_16qam,10,rayleigh,0.33263178551028744,30,30,13,6,1.0,1.0,1.0
KNN,config1_no_16qam,10,rician,0.297588190706665,30,30,7,9,1.0,1.0,1.0
SVM,config1_no_16qam,-20,awgn,0.3605655400515664,30,30,6,7,0.23333333333333334,0.5,0.14285714285714285
SVM,config1_no_16qam,-20,rayleigh,0.29549823970965855,30,30,9,7,0.23333333333333334,0.3333333333333333,0.2857142857142857
SVM,config1_no_16qam,-20,rician,0.44050197871705116,30,30,13,1,0.16666666666666666,0.38461538461538464,0.0
SVM,config1_no_16qam,-15,awgn,0.3763185305904978,30,30,4,11,0.5,0.75,0.45454545454545453
SVM,config1_no_16qam,-15,rayleigh,0.3664618321740695,30,30,8,8,0.43333333333333335,0.375,0.5
SVM,config1_no_16qam,-15,rician,0.46566655401533913,30,30,5,11,0.3,0.4,0.36363636363636365
SVM,config1_no_16qam,-10,awgn,0.3303506167643872,30,30,5,7,1.0,1.0,1.0
SVM,config1_no_16qam,-10,rayleigh,0.3200118208335147,30,30,10,6,0.7666666666666667,0.7,1.0
SVM,config1_no_16qam,-10,rician,0.29681102810663385,30,30,12,9,0.9,0.9166666666666666,0.8888888888888888
SVM,config1_no_16qam,-5,awgn,0.23135820634728277,30,30,7,4,1.0,1.0,1.0
SVM,config1_no_16qam,-5,rayleigh,0.3961280255994695,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
SVM,config1_no_16qam,-5,rician,0.360476426344601,30,30,6,8,1.0,1.0,1.0
SVM,config1_no_16qam,0,awgn,0.36396974112386826,30,30,5,7,1.0,1.0,1.0
SVM,config1_no_16qam,0,rayleigh,0.26349325232790377,30,30,5,10,0.9666666666666667,1.0,0.9
SVM,config1_no_16qam,0,rician,0.34509992417356145,30,30,7,6,1.0,1.0,1.0
SVM,config1_no_16qam,5,awgn,0.34712839874458323,30,30,6,10,1.0,1.0,1.0
SVM,config1_no_16qam,5,rayleigh,0.2222192743225117,30,30,4,12,1.0,1.0,1.0
SVM,config1_no_16qam,5,rician,0.29483466649067136,30,30,9,13,1.0,1.0,1.0
SVM,config1_no_16qam,10,awgn,0.4208675681699942,30,30,12,6,1.0,1.0,1.0
SVM,config1_no_16qam,10,rayleigh,0.3010964293495926,30,30,13,6,1.0,1.0,1.0
SVM,config1_no_16qam,10,rician,0.33728067919354576,30,30,7,9,1.0,1.0,1.0
RF,config1_no_16qam,-20,awgn,0.3993426175663317,30,30,6,7,0.1,0.16666666666666666,0.0
RF,config1_no_16qam,-20,rayleigh,0.24198137276089185,30,30,9,7,0.3,0.3333333333333333,0.2857142857142857
RF,config1_no_16qam,-20,rician,0.310254447325678,30,30,13,1,0.26666666666666666,0.5384615384615384,0.0
RF,config1_no_16qam,-15,awgn,0.31441666887202596,30,30,4,11,0.4666666666666667,0.75,0.2727272727272727
RF,config1_no_16qam,-15,rayleigh,0.2818813644939788,30,30,8,8,0.5,0.25,0.625
RF,config1_no_16qam,-15,rician,0.35365698074382035,30,30,5,11,0.4666666666666667,0.8,0.36363636363636365
RF,config1_no_16qam,-10,awgn,0.2722937777106436,30,30,5,7,1.0,1.0,1.0
RF,config1_no_16qam,-10,rayleigh,0.2958455469465604,30,30,10,6,0.7666666666666667,0.8,0.8333333333333334
RF,config1_no_16qam,-10,rician,0.2622307971983044,30,30,12,9,0.9,1.0,0.7777777777777778
RF,config1_no_16qam,-5,awgn,0.28936666537366423,30,30,7,4,1.0,1.0,1.0
RF,config1_no_16qam,-5,rayleigh,0.2783371190041646,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
RF,config1_no_16qam,-5,rician,0.28650719873065383,30,30,6,8,1.0,1.0,1.0
RF,config1_no_16qam,0,awgn,0.28631921183121845,30,30,5,7,1.0,1.0,1.0
RF,config1_no_16qam,0,rayleigh,0.21736357886198093,30,30,5,10,0.9666666666666667,1.0,0.9
RF,config1_no_16qam,0,rician,0.2512855865827198,30,30,7,6,1.0,1.0,1.0
RF,config1_no_16qam,5,awgn,0.32303595022505466,30,30,6,10,1.0,1.0,1.0
RF,config1_no_16qam,5,rayleigh,0.25099484552929224,30,30,4,12,1.0,1.0,1.0
RF,config1_no_16qam,5,rician,0.2865382872754225,30,30,9,13,1.0,1.0,1.0
RF,config1_no_16qam,10,awgn,0.29185593688343514,30,30,12,6,1.0,1.0,1.0
RF,config1_no_16qam,10,rayleigh,0.26458110732451434,30,30,13,6,1.0,1.0,1.0
RF,config1_no_16qam,10,rician,0.2940258629428272,30,30,7,9,1.0,1.0,1.0
MLP,config1_no_16qam,-20,awgn,0.33108902428686726,30,30,6,7,0.3,0.3333333333333333,0.2857142857142857
MLP,config1_no_16qam,-20,rayleigh,0.3076559304442117,30,30,9,7,0.23333333333333334,0.3333333333333333,0.2857142857142857
MLP,config1_no_16qam,-20,rician,0.45854992212887863,30,30,13,1,0.2,0.46153846153846156,0.0
MLP,config1_no_16qam,-15,awgn,0.3652300698415078,30,30,4,11,0.5,0.5,0.45454545454545453
MLP,config1_no_16qam,-15,rayleigh,0.37547204258802463,30,30,8,8,0.4666666666666667,0.375,0.5
MLP,config1_no_16qam,-15,rician,0.4224618689382541,30,30,5,11,0.4,0.4,0.45454545454545453
MLP,config1_no_16qam,-10,awgn,0.32446535631592216,30,30,5,7,1.0,1.0,1.0
MLP,config1_no_16qam,-10,rayleigh,0.3469779452434924,30,30,10,6,0.8,0.7,1.0
MLP,config1_no_16qam,-10,rician,0.2956828682470247,30,30,12,9,0.9,0.9166666666666666,0.8888888888888888
MLP,config1_no_16qam,-5,awgn,0.2133558406136231,30,30,7,4,1.0,1.0,1.0
MLP,config1_no_16qam,-5,rayleigh,0.4015517523847541,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
MLP,config1_no_16qam,-5,rician,0.34460673489700555,30,30,6,8,1.0,1.0,1.0
MLP,config1_no_16qam,0,awgn,0.3632367382818167,30,30,5,7,1.0,1.0,1.0
MLP,config1_no_16qam,0,rayleigh,0.26230863287591066,30,30,5,10,0.9666666666666667,1.0,0.9
MLP,config1_no_16qam,0,rician,0.3813175878072706,30,30,7,6,1.0,1.0,1.0
MLP,config1_no_16qam,5,awgn,0.432292999057148,30,30,6,10,1.0,1.0,1.0
MLP,config1_no_16qam,5,rayleigh,0.24840956638562975,30,30,4,12,1.0,1.0,1.0
MLP,config1_no_16qam,5,rician,0.31119809512157465,30,30,9,13,1.0,1.0,1.0
MLP,config1_no_16qam,10,awgn,0.47731789914428185,30,30,12,6,1.0,1.0,1.0
MLP,config1_no_16qam,10,rayleigh,0.3459058949387347,30,30,13,6,1.0,1.0,1.0
MLP,config1_no_16qam,10,rician,0.35672020010571753,30,30,7,9,1.0,1.0,1.0
LOGREG,config2_no_fsk,-20,awgn,0.3805330042486909,30,30,6,7,0.2,0.3333333333333333,0.0
LOGREG,config2_no_fsk,-20,rayleigh,0.35366836888306696,30,30,9,7,0.26666666666666666,0.3333333333333333,0.42857142857142855
LOGREG,config2_no_fsk,-20,rician,0.3979448549092866,30,30,13,1,0.23333333333333334,0.46153846153846156,0.0
LOGREG,config2_no_fsk,-15,awgn,0.3279271091296292,30,30,4,11,0.6,0.75,0.45454545454545453
LOGREG,config2_no_fsk,-15,rayleigh,0.2994111083993712,30,30,8,8,0.5,0.375,0.5
LOGREG,config2_no_fsk,-15,rician,0.37945420983293354,30,30,5,11,0.4666666666666667,0.8,0.36363636363636365
LOGREG,config2_no_fsk,-10,awgn,0.34892359445307486,30,30,5,7,1.0,1.0,1.0
LOGREG,config2_no_fsk,-10,rayleigh,0.294425745355669,30,30,10,6,0.8,0.8,0.8333333333333334
LOGREG,config2_no_fsk,-10,rician,0.35056522553088926,30,30,12,9,0.8666666666666667,0.9166666666666666,0.7777777777777778
LOGREG,config2_no_fsk,-5,awgn,0.23974470078787213,30,30,7,4,1.0,1.0,1.0
LOGREG,config2_no_fsk,-5,rayleigh,0.36468183377848346,30,30,7,7,0.8666666666666667,0.8571428571428571,0.7142857142857143
LOGREG,config2_no_fsk,-5,rician,0.3359980266853155,30,30,6,8,1.0,1.0,1.0
LOGREG,config2_no_fsk,0,awgn,0.43661469768859146,30,30,5,7,1.0,1.0,1.0
LOGREG,config2_no_fsk,0,rayleigh,0.26641650879424034,30,30,5,10,0.9666666666666667,1.0,0.9
LOGREG,config2_no_fsk,0,rician,0.29024782943982985,30,30,7,6,1.0,1.0,1.0
LOGREG,config2_no_fsk,5,awgn,0.39733575612959854,30,30,6,10,1.0,1.0,1.0
LOGREG,config2_no_fsk,5,rayleigh,0.2320054637864266,30,30,4,12,1.0,1.0,1.0
LOGREG,config2_no_fsk,5,rician,0.3195103272282024,30,30,9,13,1.0,1.0,1.0
LOGREG,config2_no_fsk,10,awgn,0.3293532919738033,30,30,12,6,1.0,1.0,1.0
